threshold,auc_I,auc_II,mean_conf_correct,mean_conf_incorrect,conf_var_correct,conf_var_incorrect,day,set,subject
48.99497487,0.773571706,0.453125,3.0714,3.5,1.352,0.58333,1,1,11
46.73366834,0.943029885,0.73125,3.3889,2.5,0.6821,0.25,1,1,11
45.9798995,0.939216813,0.7375,3.8333,3,0.25,1,1,1,11
48.24120603,0.8135,0.75,3.7143,2.5,0.34694,1.25,1,1,11
46.23115578,0.870656715,0.652631579,3.7647,3.3333,0.29758,0.88889,1,1,11
45.47738693,0.97784726,0.73125,2.8889,1.5,0.76543,0.25,1,1,11
42.96482412,0.961261625,0.674603175,3.0526,2,0.99723,0,1,1,11
44.47236181,0.775454775,0.6640625,3.5714,3.1667,0.67347,0.47222,1,1,11
46.23115578,0.715454709,0.707142857,3.5,2.25,0.91667,1.9375,1,1,11
41.70854271,0.98237222,0.801587302,3.4211,1,0.66482,0,1,1,11
40.70351759,0.94916634,0.492063492,3,4,1.3684,0,1,1,11
41.95979899,0.915656165,0.7,3.4706,2.6667,0.71972,0.88889,1,1,11
40.70351759,0.922323325,0.6875,3.6111,3,0.79321,1,1,1,11
39.69849246,0.945258375,0.821052632,3.3529,1,1.4048,0,1,1,11
40.70351759,0.898989525,0.857142857,3.6,1.8,0.50667,0.56,1,1,11
40.95477387,0.87116176,0.693277311,3.6667,3,0.75556,0.8,1,1,11
37.43718593,0.913175,0.611111111,3.5263,4,0.88089,0,1,1,11
53.76884422,0.537121655,0.51048951,2.8182,2.7778,0.69421,0.83951,1,1,12
51.50753769,0.73205,0.662962963,3.3077,2.8571,0.36686,0.12245,1,1,12
56.28140704,0.455252504,0.444444444,3.2,3.4,0.56,0.44,1,1,12
58.29145729,0.576648605,0.552447552,3.2222,3,0.39506,0.72727,1,1,12
58.29145729,0.518591768,0.636363636,3,2.5455,0.44444,0.24793,1,1,12
56.28140704,0.4725,0.479166667,2.8,2.8,0.16,0.56,1,1,12
58.29145729,0.507272791,0.573426573,3.2222,3,0.39506,0.18182,1,1,12
56.28140704,0.55255,0.559027778,2.7,2.5,0.41,0.25,1,1,12
51.50753769,0.662,0.533333333,2.9231,2.8571,0.071006,0.12245,1,1,12
60.05025126,0.390625,0.348148148,3.4286,3.7692,0.2449,0.17751,1,1,12
53.76884422,0.540050692,0.496503497,3.1818,3.2222,0.33058,0.17284,1,1,12
59.29648241,0.412692082,0.596428571,3.625,3.3333,0.23438,0.22222,1,1,12
50.75376884,0.796875103,0.703125,3.6429,3.1667,0.22959,0.13889,1,1,12
48.74371859,0.911923165,0.710526316,3.6471,3,0.22837,0.66667,1,1,12
53.76884422,0.575858874,0.503496503,3.5455,3.4444,0.24793,0.69136,1,1,12
56.28140704,0.541071098,0.517361111,3.5,3.4,0.45,0.64,1,1,12
50,0.83105,0.697478992,3.2667,2.6,0.59556,0.24,1,1,12
48.74371859,0.83343397,0.5,3.1176,3.3333,0.45675,0.22222,1,1,12
50,0.680274924,0.470588235,3.4,3.6,0.24,0.24,1,1,12
51.50753769,0.788434096,0.737037037,3.6154,2.8571,0.39053,0.40816,1,1,12
47.98994975,0.8950001,0.65,4,4,0,0,1,1,12
48.74371859,0.87905,0.726851852,3.75,3.25,0.1875,0.1875,1,1,12
48.49246231,0.90005009,0.705263158,4,3.6667,0,0.22222,1,1,12
49.24623116,0.77405,0.630252101,4,3.8,0,0.16,1,1,12
53.76884422,0.61505042,0.566433566,2.1818,1.7778,1.6033,1.0617,1,2,13
60.55276382,0.208030201,0.4375,1.5,1.8571,0.58333,0.83673,1,2,13
56.28140704,0.514746702,0.552083333,2.3,2.1,0.81,0.89,1,2,13
53.76884422,0.500625063,0.416083916,1.5455,1.7778,0.42975,0.39506,1,2,13
56.28140704,0.55609175,0.586805556,2.3,2,0.61,0.8,1,2,13
59.29648241,0.479333235,0.646428571,2.375,1.8333,0.73438,0.80556,1,2,13
59.29648241,0.39848397,0.453571429,2.125,2.3333,1.3594,0.55556,1,2,13
60.55276382,0.344444297,0.5625,2.3333,2.1429,0.55556,0.55102,1,2,13
60.05025126,0.357,0.525925926,1.7143,1.6923,0.20408,0.21302,1,2,13
56.28140704,0.615575165,0.572916667,1.9,1.7,0.29,0.61,1,2,13
58.29145729,0.369999888,0.475524476,2,2.0909,0.44444,0.44628,1,2,13
59.29648241,0.350707664,0.432142857,1.625,1.9167,0.98438,1.0764,1,2,13
53.76884422,0.559999869,0.447552448,2,2.1111,1.6364,1.2099,1,2,13
56.28140704,0.480252565,0.444444444,1.6,1.8,0.44,0.56,1,2,13
52.51256281,0.649071219,0.628571429,2.6667,2.125,0.72222,1.3594,1,2,13
52.51256281,0.579899132,0.467857143,1.9167,2,0.74306,0.5,1,2,13
56.28140704,0.549633375,0.569444444,2.4,2,1.44,0.6,1,2,13
59.29648241,0.40349175,0.510714286,2.375,2.3333,0.73438,0.55556,1,2,13
53.76884422,0.313045323,0.402097902,1.8182,2.2222,0.33058,0.83951,1,2,13
53.76884422,0.676643604,0.566433566,1.9091,1.6667,0.44628,0.22222,1,2,13
53.76884422,0.623406525,0.63986014,2,1.4444,0.72727,0.24691,1,2,13
52.51256281,0.656423794,0.528571429,2,1.875,0.5,0.60938,1,2,13
50.75376884,0.642716895,0.4296875,2,2.1667,0.71429,0.47222,1,2,13
61.30653266,0.198636216,0.509259259,2,1.875,1.5,0.35938,1,2,13
46.73366834,0.720302068,0.55078125,2.2143,1.8333,1.1684,0.47222,1,2,14
55.52763819,0.524225514,0.666666667,2.7,1.9,1.21,0.89,1,2,14
53.76884422,0.63000004,0.622377622,2.8182,2.2222,1.0579,1.5062,1,2,14
56.28140704,0.43455,0.423611111,2,2.2,0.8,0.36,1,2,14
51.50753769,0.752133438,0.677777778,2.9231,2.1429,0.68639,0.97959,1,2,14
56.28140704,0.584841745,0.597222222,2.5,2.1,0.85,0.69,1,2,14
50.75376884,0.842412785,0.76953125,2.9286,1.5,1.2092,0.25,1,2,14
53.76884422,0.784424898,0.793706294,3.2727,1.8889,0.92562,0.54321,1,2,14
50.75376884,0.844848115,0.7890625,3.2857,1.8333,0.91837,0.80556,1,2,14
50.75376884,0.837133335,0.78125,3.6429,2.3333,0.65816,1.2222,1,2,14
50,0.874633108,0.710084034,2.8667,1.8,0.51556,0.96,1,2,14
49.24623116,0.898999935,0.722222222,3.3125,2,1.0898,1.5,1,2,14
48.99497487,0.88805,0.794117647,3,1.8,0.53333,0.16,1,2,14
48.24120603,0.817373445,0.634453782,2.8667,2.2,0.91556,1.36,1,2,14
46.48241206,0.940466728,0.70625,3.0556,2,1.0525,0,1,2,14
48.24120603,0.800099955,0.70703125,2.7143,1.8333,0.77551,0.47222,1,2,14
49.49748744,0.713461748,0.577777778,3.4615,3.2857,0.55621,0.4898,1,2,14
46.73366834,0.833,0.510526316,3.2941,3.6667,0.91349,0.22222,1,2,14
46.98492462,0.94442504,0.847222222,3.6875,2,0.33984,1,1,2,14
